"Latest: Time (ms)","Latest: Sound Pressure","Latest: Offset Pressure (arbitrary)","Run 1: Time (s)","Run 1: Sound Pressure","Run 1: Offset Pressure (arbitrary)"
0,2.5873015873,-0.115392670771,0,2.60073260073,-0.114110332631
0.02,2.5873015873,-0.115392670771,2E-05,2.60073260073,-0.114110332631
0.04,2.57387057387,-0.128823684202,4E-05,2.59829059829,-0.116552335073
0.06,2.57387057387,-0.128823684202,6E-05,2.59829059829,-0.116552335073
0.08,2.56654456654,-0.136149691528,8E-05,2.59584859585,-0.118994337515
0.1,2.56654456654,-0.136149691528,0.0001,2.59584859585,-0.118994337515
0.12,2.56166056166,-0.141033696412,0.00012,2.59706959707,-0.117773336294
0.14,2.56166056166,-0.141033696412,0.00014,2.59706959707,-0.117773336294
0.16,2.55067155067,-0.152022707401,0.00016,2.59340659341,-0.121436339957
0.18,2.55067155067,-0.152022707401,0.00018,2.59340659341,-0.121436339957
0.2,2.54334554335,-0.159348714727,0.0002,2.59584859585,-0.118994337515
0.22,2.54334554335,-0.159348714727,0.00022,2.59584859585,-0.118994337515
0.24,2.53724053724,-0.165453720832,0.00024,2.60805860806,-0.106784325305
0.26,2.53724053724,-0.165453720832,0.00026,2.60805860806,-0.106784325305
0.28,2.52747252747,-0.1752217306,0.00028,2.60561660562,-0.109226327747
0.3,2.52747252747,-0.1752217306,0.0003,2.60561660562,-0.109226327747
0.32,2.51404151404,-0.188652744031,0.00032,2.59340659341,-0.121436339957
0.34,2.51404151404,-0.188652744031,0.00034,2.59340659341,-0.121436339957
0.36,2.50671550672,-0.195978751357,0.00036,2.57509157509,-0.139751358272
0.38,2.50671550672,-0.195978751357,0.00038,2.57509157509,-0.139751358272
0.4,2.50061050061,-0.202083757462,0.0004,2.57020757021,-0.144635363156
0.42,2.50061050061,-0.202083757462,0.00042,2.57020757021,-0.144635363156
0.44,2.49206349206,-0.210630766009,0.00044,2.54456654457,-0.170276388797
0.46,2.49206349206,-0.210630766009,0.00046,2.54456654457,-0.170276388797
0.48,2.48107448107,-0.221619776998,0.00048,2.5347985348,-0.180044398565
0.5,2.48107448107,-0.221619776998,0.0005,2.5347985348,-0.180044398565
0.52,2.47741147741,-0.225282780661,0.00052,2.53357753358,-0.181265399786
0.54,2.47741147741,-0.225282780661,0.00054,2.53357753358,-0.181265399786
0.56,2.46886446886,-0.233829789208,0.00056,2.55433455433,-0.160508379029
0.58,2.46886446886,-0.233829789208,0.00058,2.55433455433,-0.160508379029
0.6,2.45665445665,-0.246039801418,0.0006,2.52991452991,-0.184928403449
0.62,2.45665445665,-0.246039801418,0.00062,2.52991452991,-0.184928403449
0.64,2.44810744811,-0.254586809965,0.00064,2.52380952381,-0.191033409554
0.66,2.44810744811,-0.254586809965,0.00066,2.52380952381,-0.191033409554
0.68,2.44688644689,-0.255807811186,0.00068,2.49816849817,-0.216674435195
0.7,2.44688644689,-0.255807811186,0.0007,2.49816849817,-0.216674435195
0.72,2.44078144078,-0.261912817291,0.00072,2.45299145299,-0.261851480372
0.74,2.44078144078,-0.261912817291,0.00074,2.45299145299,-0.261851480372
0.76,2.43345543346,-0.269238824617,0.00076,2.42368742369,-0.291155509676
0.78,2.43345543346,-0.269238824617,0.00078,2.42368742369,-0.291155509676
0.8,2.42612942613,-0.276564831943,0.0008,2.48473748474,-0.230105448626
0.82,2.42612942613,-0.276564831943,0.00082,2.48473748474,-0.230105448626
0.84,2.42124542125,-0.281448836827,0.00084,2.53601953602,-0.178823397344
0.86,2.42124542125,-0.281448836827,0.00086,2.53601953602,-0.178823397344
0.88,2.41514041514,-0.287553842932,0.00088,2.50793650794,-0.206906425427
0.9,2.41514041514,-0.287553842932,0.0009,2.50793650794,-0.206906425427
0.92,2.40903540904,-0.293658849037,0.00092,2.4590964591,-0.255746474267
0.94,2.40903540904,-0.293658849037,0.00094,2.4590964591,-0.255746474267
0.96,2.40537240537,-0.2973218527,0.00096,2.38217338217,-0.332669551191
0.98,2.40537240537,-0.2973218527,0.00098,2.38217338217,-0.332669551191
1,2.40170940171,-0.300984856363,0.001,2.32967032967,-0.385172603694
1.02,2.40170940171,-0.300984856363,0.00102,2.32967032967,-0.385172603694
1.04,2.39438339438,-0.308310863689,0.00104,2.25763125763,-0.457211675733
1.06,2.39438339438,-0.308310863689,0.00106,2.25763125763,-0.457211675733
1.08,2.39072039072,-0.311973867352,0.00108,2.26251526252,-0.452327670849
1.1,2.39072039072,-0.311973867352,0.0011,2.26251526252,-0.452327670849
1.12,2.38827838828,-0.314415869794,0.00112,2.11965811966,-0.595184813706
1.14,2.38827838828,-0.314415869794,0.00114,2.11965811966,-0.595184813706
1.16,2.38217338217,-0.320520875899,0.00116,1.62637362637,-1.08846930699
1.18,2.38217338217,-0.320520875899,0.00118,1.62637362637,-1.08846930699
1.2,2.37851037851,-0.324183879562,0.0012,1.08058608059,-1.63425685278
1.22,2.37851037851,-0.324183879562,0.00122,1.08058608059,-1.63425685278
1.24,2.37606837607,-0.326625882004,0.00124,0.178266178266,-2.5365767551
1.26,2.37606837607,-0.326625882004,0.00126,0.178266178266,-2.5365767551
1.28,2.37484737485,-0.327846883225,0.00128,0.885225885226,-1.82961704814
1.3,2.37484737485,-0.327846883225,0.0013,0.885225885226,-1.82961704814
1.32,2.37118437118,-0.331509886888,0.00132,3.56654456654,0.851701633181
1.34,2.37118437118,-0.331509886888,0.00134,3.56654456654,0.851701633181
1.36,2.37118437118,-0.331509886888,0.00136,4.20390720391,1.48906427054
1.38,2.37118437118,-0.331509886888,0.00138,4.20390720391,1.48906427054
1.4,2.37484737485,-0.327846883225,0.0014,4.34065934066,1.6258164073
1.42,2.37484737485,-0.327846883225,0.00142,4.34065934066,1.6258164073
1.44,2.37362637363,-0.329067884446,0.00144,4.35897435897,1.64413142561
1.46,2.37362637363,-0.329067884446,0.00146,4.35897435897,1.64413142561
1.48,2.36996336996,-0.332730888109,0.00148,4.32112332112,1.60628038776
1.5,2.36996336996,-0.332730888109,0.0015,4.32112332112,1.60628038776
1.52,2.36874236874,-0.33395188933,0.00152,3.17704517705,0.462202243681
1.54,2.36874236874,-0.33395188933,0.00154,3.17704517705,0.462202243681
1.56,2.36874236874,-0.33395188933,0.00156,1.88278388278,-0.83205905058
1.58,2.36874236874,-0.33395188933,0.00158,1.88278388278,-0.83205905058
1.6,2.36752136752,-0.335172890551,0.0016,1.43711843712,-1.27772449625
1.62,2.36752136752,-0.335172890551,0.00162,1.43711843712,-1.27772449625
1.64,2.36874236874,-0.33395188933,0.00164,0.192918192918,-2.52192474045
1.66,2.36874236874,-0.33395188933,0.00166,0.192918192918,-2.52192474045
1.68,2.36996336996,-0.332730888109,0.00168,0.14652014652,-2.56832278684
1.7,2.36996336996,-0.332730888109,0.0017,0.14652014652,-2.56832278684
1.72,2.36874236874,-0.33395188933,0.00172,1.13797313797,-1.57686979539
1.74,2.36874236874,-0.33395188933,0.00174,1.13797313797,-1.57686979539
1.76,2.36385836386,-0.338835894214,0.00176,3.87912087912,1.16427794576
1.78,2.36385836386,-0.338835894214,0.00178,3.87912087912,1.16427794576
1.8,2.3601953602,-0.342498897877,0.0018,3.90231990232,1.18747696896
1.82,2.3601953602,-0.342498897877,0.00182,3.90231990232,1.18747696896
1.84,2.35897435897,-0.343719899098,0.00184,2.7851037851,0.0702608517399
1.86,2.35897435897,-0.343719899098,0.00186,2.7851037851,0.0702608517399
1.88,2.35653235653,-0.34616190154,0.00188,3.64468864469,0.929845711325
1.9,2.35653235653,-0.34616190154,0.0019,3.64468864469,0.929845711325
1.92,2.35164835165,-0.351045906424,0.00192,4.33943833944,1.62459540607
