"Latest: Time (ms)","Latest: Sound Pressure","Latest: Offset Pressure (arbitrary)","Run 1: Time (s)","Run 1: Sound Pressure","Run 1: Offset Pressure (arbitrary)"
0,2.59829059829,-0.148953361268,0,2.60073260073,-0.114110332631
0.02,2.63125763126,-0.115986328301,2E-05,2.60073260073,-0.114110332631
0.04,2.63125763126,-0.115986328301,4E-05,2.59829059829,-0.116552335073
0.06,2.60073260073,-0.146511358826,6E-05,2.59829059829,-0.116552335073
0.08,2.60073260073,-0.146511358826,8E-05,2.59584859585,-0.118994337515
0.1,2.57142857143,-0.17581538813,0.0001,2.59584859585,-0.118994337515
0.12,2.57142857143,-0.17581538813,0.00012,2.59706959707,-0.117773336294
0.14,2.60073260073,-0.146511358826,0.00014,2.59706959707,-0.117773336294
0.16,2.60073260073,-0.146511358826,0.00016,2.59340659341,-0.121436339957
0.18,2.61660561661,-0.130638342953,0.00018,2.59340659341,-0.121436339957
0.2,2.61660561661,-0.130638342953,0.0002,2.59584859585,-0.118994337515
0.22,2.62515262515,-0.122091334406,0.00022,2.59584859585,-0.118994337515
0.24,2.62515262515,-0.122091334406,0.00024,2.60805860806,-0.106784325305
0.26,2.64835164835,-0.0988923112074,0.00026,2.60805860806,-0.106784325305
0.28,2.64835164835,-0.0988923112074,0.00028,2.60561660562,-0.109226327747
0.3,2.63003663004,-0.117207329522,0.0003,2.60561660562,-0.109226327747
0.32,2.63003663004,-0.117207329522,0.00032,2.59340659341,-0.121436339957
0.34,2.60683760684,-0.140406352721,0.00034,2.59340659341,-0.121436339957
0.36,2.60683760684,-0.140406352721,0.00036,2.57509157509,-0.139751358272
0.38,2.63003663004,-0.117207329522,0.00038,2.57509157509,-0.139751358272
0.4,2.63003663004,-0.117207329522,0.0004,2.57020757021,-0.144635363156
0.42,2.65811965812,-0.0891243014394,0.00042,2.57020757021,-0.144635363156
0.44,2.65811965812,-0.0891243014394,0.00044,2.54456654457,-0.170276388797
0.46,2.66666666667,-0.0805772928924,0.00046,2.54456654457,-0.170276388797
0.48,2.66666666667,-0.0805772928924,0.00048,2.5347985348,-0.180044398565
0.5,2.66788766789,-0.0793562916714,0.0005,2.5347985348,-0.180044398565
0.52,2.66788766789,-0.0793562916714,0.00052,2.53357753358,-0.181265399786
0.54,2.66788766789,-0.0793562916714,0.00054,2.53357753358,-0.181265399786
0.56,2.66788766789,-0.0793562916714,0.00056,2.55433455433,-0.160508379029
0.58,2.65201465201,-0.0952293075444,0.00058,2.55433455433,-0.160508379029
0.6,2.65201465201,-0.0952293075444,0.0006,2.52991452991,-0.184928403449
0.62,2.66422466422,-0.0830192953344,0.00062,2.52991452991,-0.184928403449
0.64,2.66422466422,-0.0830192953344,0.00064,2.52380952381,-0.191033409554
0.66,2.69108669109,-0.0561572684724,0.00066,2.52380952381,-0.191033409554
0.68,2.69108669109,-0.0561572684724,0.00068,2.49816849817,-0.216674435195
0.7,2.69597069597,-0.0512732635883,0.0007,2.49816849817,-0.216674435195
0.72,2.69597069597,-0.0512732635883,0.00072,2.45299145299,-0.261851480372
0.74,2.65567765568,-0.0915663038814,0.00074,2.45299145299,-0.261851480372
0.76,2.65567765568,-0.0915663038814,0.00076,2.42368742369,-0.291155509676
0.78,2.62637362637,-0.120870333185,0.00078,2.42368742369,-0.291155509676
0.8,2.62637362637,-0.120870333185,0.0008,2.48473748474,-0.230105448626
0.82,2.6043956044,-0.142848355163,0.00082,2.48473748474,-0.230105448626
0.84,2.6043956044,-0.142848355163,0.00084,2.53601953602,-0.178823397344
0.86,2.62881562882,-0.118428330743,0.00086,2.53601953602,-0.178823397344
0.88,2.62881562882,-0.118428330743,0.00088,2.50793650794,-0.206906425427
0.9,2.62881562882,-0.118428330743,0.0009,2.50793650794,-0.206906425427
0.92,2.62881562882,-0.118428330743,0.00092,2.4590964591,-0.255746474267
0.94,2.50671550672,-0.240528452844,0.00094,2.4590964591,-0.255746474267
0.96,2.50671550672,-0.240528452844,0.00096,2.38217338217,-0.332669551191
0.98,2.35409035409,-0.393153605469,0.00098,2.38217338217,-0.332669551191
1,2.35409035409,-0.393153605469,0.001,2.32967032967,-0.385172603694
1.02,2.11233211233,-0.634911847227,0.00102,2.32967032967,-0.385172603694
1.04,2.11233211233,-0.634911847227,0.00104,2.25763125763,-0.457211675733
1.06,1.52380952381,-1.22343443575,0.00106,2.25763125763,-0.457211675733
1.08,1.52380952381,-1.22343443575,0.00108,2.26251526252,-0.452327670849
1.1,0.992673992674,-1.75456996689,0.0011,2.26251526252,-0.452327670849
1.12,0.992673992674,-1.75456996689,0.00112,2.11965811966,-0.595184813706
1.14,3.32844932845,0.58120536889,0.00114,2.11965811966,-0.595184813706
1.16,3.32844932845,0.58120536889,0.00116,1.62637362637,-1.08846930699
1.18,4.3431013431,1.59585738354,0.00118,1.62637362637,-1.08846930699
1.2,4.3431013431,1.59585738354,0.0012,1.08058608059,-1.63425685278
1.22,4.33577533578,1.58853137622,0.00122,1.08058608059,-1.63425685278
1.24,4.33577533578,1.58853137622,0.00124,0.178266178266,-2.5365767551
1.26,4.32234432234,1.57510036279,0.00126,0.178266178266,-2.5365767551
1.28,4.32234432234,1.57510036279,0.00128,0.885225885226,-1.82961704814
1.3,4.35042735043,1.60318339087,0.0013,0.885225885226,-1.82961704814
1.32,4.35042735043,1.60318339087,0.00132,3.56654456654,0.851701633181
1.34,4.33089133089,1.58364737133,0.00134,3.56654456654,0.851701633181
1.36,4.33089133089,1.58364737133,0.00136,4.20390720391,1.48906427054
1.38,2.40537240537,-0.341871554187,0.00138,4.20390720391,1.48906427054
1.4,2.40537240537,-0.341871554187,0.0014,4.34065934066,1.6258164073
1.42,0.142857142857,-2.6043868167,0.00142,4.34065934066,1.6258164073
