x_roll, y_pitch, z_yaw
0.0, 0.0, 0.0
2.33, -0.14, -89.79
2.35, -0.1, -89.79
2.31, -0.12, -89.82
2.27, -0.1, -89.81
2.28, -0.07, -89.8
2.19, -0.07, -89.8
2.25, -0.05, -89.74
2.34, -0.08, -89.73
2.43, -0.02, -89.77
2.3, 0.04, -89.76
2.13, -0.0, -89.74
2.15, 0.05, -89.73
2.36, -0.07, -89.76
2.44, -0.09, -89.75
2.22, -0.17, -89.72
2.28, -0.11, -89.77
2.24, -0.1, -89.81
2.24, -0.1, -89.83
2.33, -0.16, -89.85
2.31, -0.12, -89.85
2.3, -0.12, -89.9
2.33, -0.11, -89.87
2.26, -0.14, -89.84
2.34, -0.13, -89.84
2.24, -0.16, -89.81
2.31, -0.1, -89.83
2.2, -0.15, -89.93
2.24, -0.12, -89.94
2.22, -0.05, -89.88
2.27, -0.1, -89.87
2.25, -0.05, -89.8
2.3, -0.05, -89.78
2.18, -0.11, -89.74
2.15, -0.01, -89.71
2.42, -0.12, -89.69
2.32, -0.25, -89.73
2.34, -0.1, -89.77
2.3, -0.07, -89.86
2.26, -0.05, -89.86
2.23, -0.11, -89.88
2.26, -0.09, -89.88
2.3, -0.09, -89.87
2.25, -0.09, -89.86
2.3, -0.1, -89.86
2.23, -0.13, -89.87
2.3, -0.13, -89.87
2.35, -0.13, -89.89
2.24, -0.06, -89.9
2.22, -0.11, -89.86
2.27, -0.09, -89.86
2.21, -0.1, -89.88
2.21, -0.1, -89.88
2.15, -0.13, -89.85
2.23, -0.17, -89.87
2.29, -0.14, -89.87
2.33, -0.12, -89.88
2.21, -0.14, -89.9
2.26, -0.07, -89.9
2.36, -0.2, -89.92
2.29, -0.15, -89.94
2.3, -0.1, -89.89
2.19, -0.12, -89.9
2.31, -0.14, -89.9
2.3, -0.13, -89.88
2.28, -0.15, -89.85
2.31, -0.16, -89.86
2.29, -0.11, -89.87
2.31, -0.09, -89.88
2.31, -0.04, -89.85
2.22, -0.05, -89.88
2.29, -0.07, -89.86
2.26, -0.09, -89.86
2.23, -0.1, -89.85
2.22, -0.15, -89.85
2.26, -0.13, -89.86
2.29, -0.14, -89.86
2.29, -0.11, -89.84
2.21, -0.11, -89.84
2.29, -0.05, -89.85
2.3, -0.08, -89.87
2.22, -0.14, -89.88
2.24, -0.16, -89.89
2.27, -0.06, -89.84
2.25, -0.04, -89.88
2.26, 0.04, -89.84
2.19, -0.04, -89.8
2.35, -0.0, -89.84
2.32, -0.03, -89.8
2.31, -0.1, -89.77
2.29, -0.01, -89.76
2.35, -0.01, -89.77
2.4, -0.15, -89.79
2.47, -0.01, -89.81
2.38, -0.13, -89.81
2.48, -0.08, -89.84
2.46, -0.07, -89.81
2.22, -0.07, -89.83
2.25, -0.08, -89.85
2.22, 0.03, -89.86
2.3, -0.07, -89.83
2.44, 0.04, -89.81
2.37, -0.04, -89.8
2.34, -0.03, -89.8
2.5, -0.12, -89.81
2.47, -0.21, -89.87
2.48, -0.2, -89.88
2.4, -0.22, -89.9
2.4, -0.22, -89.9
2.34, -0.21, -89.93
2.38, -0.16, -89.94
2.44, -0.06, -89.93
2.43, -0.06, -89.95
