x_roll, y_pitch, z_yaw
0.0, 0.0, 0.0
2.32, -0.16, -88.47
2.23, -0.12, -88.49
2.24, -0.2, -88.46
2.24, -0.03, -88.47
2.25, -0.07, -88.48
2.27, 0.01, -88.48
2.35, -0.04, -88.45
2.33, -0.11, -88.44
2.35, -0.04, -88.47
2.3, -0.11, -88.46
2.33, -0.12, -88.48
2.34, -0.07, -88.49
2.26, -0.11, -88.47
2.26, -0.11, -88.48
2.26, -0.11, -88.48
2.25, -0.11, -88.49
2.23, -0.12, -88.49
2.31, -0.03, -88.42
2.35, -0.1, -88.37
2.29, -0.05, -88.39
2.31, 0.01, -88.39
2.28, 0.03, -88.37
2.26, 0.09, -88.34
2.3, -0.02, -88.3
2.29, -0.02, -88.3
2.33, 0.04, -88.27
2.3, 0.01, -88.28
2.43, -0.02, -88.29
2.43, -0.08, -88.26
2.35, -0.12, -88.38
2.38, -0.14, -88.45
2.36, -0.05, -88.45
2.34, -0.11, -88.45
2.29, -0.18, -88.47
2.33, -0.18, -88.5
2.29, -0.08, -88.52
2.34, -0.04, -88.54
2.33, -0.02, -88.47
2.31, -0.09, -88.46
2.23, -0.07, -88.51
2.28, -0.13, -88.55
2.34, -0.1, -88.56
2.32, -0.05, -88.55
2.33, -0.1, -88.56
2.31, -0.1, -88.57
2.15, -0.02, -88.54
2.45, 0.05, -88.55
2.33, -0.06, -88.55
2.33, -0.03, -88.5
2.3, -0.0, -88.48
2.41, -0.01, -88.51
2.38, -0.02, -88.49
2.44, -0.04, -88.5
2.35, -0.05, -88.48
2.26, -0.04, -88.55
2.19, -0.06, -88.55
2.21, -0.05, -88.59
2.23, -0.06, -88.62
2.28, -0.09, -88.65
2.35, -0.14, -88.62
2.32, -0.09, -88.65
2.3, -0.08, -88.63
2.27, -0.11, -88.59
2.26, -0.14, -88.59
2.28, -0.14, -88.58
2.28, -0.11, -88.57
2.31, -0.12, -88.57
2.27, -0.1, -88.59
2.2, -0.1, -88.6
2.24, -0.11, -88.63
