x,y,z,x0,y0,z0
211.43284212326503,-1111.5680558321571,-134.6408744996517,-709.4775913278611,699.5924352437297,0
201.37077261610702,-1108.0660147389606,-125.84296479334375,-702.1149252522509,699.6369630397764,0
,,,,,0
211.43284212326503,-1111.5680558321571,-134.6408744996517,-709.4775913278611,699.5924352437297,0
216.43974859287502,-1187.6727752359263,-141.72674233834073,-795.2786721267621,686.9354091405352,0
,,,,,0
211.43284212326503,-1111.5680558321571,-134.6408744996517,-709.4775913278611,699.5924352437297,0
222.99930036754787,-1114.607054349654,-143.90359112727478,-706.4659793644487,691.454980466563,0
,,,,,0
601.9626977477034,551.7430772839789,-387.4559269059753,-73.56676708010053,-769.6912598382896,0
599.8110929762437,548.7608994034239,-385.2316695338006,-73.13166166924447,-763.0343542893648,0
,,,,,0
601.9626977477034,551.7430772839789,-387.4559269059753,-73.56676708010053,-769.6912598382896,0
604.5050032189495,555.1044714732785,-390.244366983205,-72.34676563383206,-776.8936308929389,0
,,,,,0
601.9626977477034,551.7430772839789,-387.4559269059753,-73.56676708010053,-769.6912598382896,0
725.7361087538599,493.4879673362483,-427.744817776584,-181.4985035014069,-785.175801008246,0
,,,,,0
601.9626977477034,551.7430772839789,-387.4559269059753,-73.56676708010053,-769.6912598382896,0
594.4556614946971,556.9882048889426,-384.53681466240977,-66.03347143067842,-768.6114607776317,0
,,,,,0
1163.3478037314007,-24.83613305018399,234.00584034255527,-580.8143617847995,-293.87836034074155,0
1166.4901789377523,-24.189288167508806,232.45304494907546,-580.3024730657887,-297.2068131155994,0
,,,,,0
1163.3478037314007,-24.83613305018399,234.00584034255527,-580.8143617847995,-293.87836034074155,0
1215.3751298613465,-15.743053055938352,235.21192926859675,-631.9264503862098,-301.58166910348683,0
,,,,,0
1163.3478037314007,-24.83613305018399,234.00584034255527,-580.8143617847995,-293.87836034074155,0
1106.1607054196484,-35.03956966594851,236.18429692274972,-523.525482640255,-285.2733637023162,0
,,,,,0
1163.3478037314007,-24.83613305018399,234.00584034255527,-580.8143617847995,-293.87836034074155,0
1162.2002681504875,-30.503461717162903,241.49163559037325,-581.8125447871736,-286.2418432724618,0
,,,,,0
1197.4953425774834,191.77496191596262,-45.936693036559426,-617.8324476540922,-477.4998604041565,0
1306.6692968841708,223.26749904058988,-47.98252907513573,-728.8867052607582,-494.2200479213297,0
,,,,,0
1197.4953425774834,191.77496191596262,-45.936693036559426,-617.8324476540922,-477.4998604041565,0
1194.2796755980319,197.3924856179595,-53.715521544230874,-618.0201401841941,-481.4517023276229,0
,,,,,0
