a1, b1, c1, a2, b2, c2, a3, b3, c3
0.281265,-0.840805,0.430222,0.324054,-0.818632,0.424098,-0.042789,-0.022173,0.006124,
0.288315,-0.818176,0.405396,0.320480,-0.818586,0.422228,-0.032165,0.000410,-0.016832,
0.248550,-0.807907,0.436401,0.313287,-0.817518,0.423645,-0.064737,0.009611,0.012756,
0.258469,-0.878784,0.484604,0.307805,-0.823645,0.429741,-0.049337,-0.055139,0.054863,
0.176163,-0.857742,0.494354,0.294641,-0.827055,0.436202,-0.118478,-0.030688,0.058152,
0.157593,-0.865707,0.518890,0.280936,-0.830920,0.444471,-0.123343,-0.034788,0.074419,
0.195450,-0.857803,0.534943,0.272388,-0.833608,0.453518,-0.076938,-0.024195,0.081424,
0.136383,-0.840683,0.552887,0.258787,-0.834316,0.463455,-0.122404,-0.006367,0.089432,
0.156540,-0.856857,0.574936,0.248562,-0.836570,0.474603,-0.092022,-0.020288,0.100333,
0.136368,-0.835846,0.573532,0.237343,-0.836497,0.484496,-0.100975,0.000651,0.089036,
0.141541,-0.806656,0.552567,0.227763,-0.833513,0.491303,-0.086222,0.026857,0.061263,
0.228134,-0.789200,0.508911,0.227800,-0.829082,0.493064,0.000334,0.039882,0.015847,
0.239609,-0.800873,0.537750,0.228981,-0.826261,0.497533,0.010628,0.025388,0.040218,
0.205902,-0.756424,0.584198,0.226673,-0.819277,0.506199,-0.020771,0.062853,0.077999,
0.324356,-0.746170,0.580353,0.236441,-0.811967,0.513614,0.087915,0.065797,0.066738,
0.356018,-0.695709,0.521973,0.248399,-0.800341,0.514450,0.107619,0.104632,0.007522,
0.616241,-0.766571,0.532333,0.285183,-0.796964,0.516239,0.331058,0.030393,0.016095,
0.258194,-0.668427,0.552231,0.282484,-0.784110,0.519838,-0.024290,0.115684,0.032393,
0.222565,-0.699493,0.705917,0.276492,-0.775648,0.538446,-0.053928,0.076155,0.167472,
0.384689,-0.777924,0.745895,0.287312,-0.775876,0.559191,0.097377,-0.002048,0.186705,
0.379913,-0.622421,0.531265,0.296572,-0.760530,0.556398,0.083341,0.138109,-0.025133,
0.469315,-0.619049,0.479904,0.313846,-0.746382,0.548749,0.155468,0.127333,-0.068845,
0.216171,-0.782959,0.644684,0.304079,-0.750040,0.558342,-0.087908,-0.032919,0.086342,
0.361023,-0.655579,0.584671,0.309773,-0.740594,0.560975,0.051250,0.085015,0.023696,
0.462738,-0.676025,0.570175,0.325070,-0.734137,0.561895,0.137668,0.058112,0.008280,
0.216385,-0.758453,0.649353,0.314201,-0.736569,0.570641,-0.097816,-0.021885,0.078712,
0.217468,-0.718262,0.737610,0.304528,-0.734738,0.587338,-0.087060,0.016476,0.150272,
0.085587,-0.817322,0.753113,0.282634,-0.742996,0.603915,-0.197047,-0.074325,0.149197,
0.298660,-0.783371,0.622894,0.284236,-0.747034,0.605813,0.014424,-0.036337,0.017081,
0.325760,-0.703918,0.561188,0.288389,-0.742722,0.601351,0.037371,0.038804,-0.040163,
0.278397,-0.789062,0.570526,0.287390,-0.747356,0.598268,-0.008993,-0.041706,-0.027742,
0.229279,-0.757828,0.547989,0.281578,-0.748403,0.593240,-0.052300,-0.009424,-0.045251,
0.265915,-0.766708,0.595779,0.280012,-0.750234,0.593494,-0.014097,-0.016474,0.002285,
0.317886,-0.709656,0.579895,0.283800,-0.746176,0.592134,0.034087,0.036520,-0.012239,
0.194138,-0.746765,0.669678,0.274833,-0.746235,0.599889,-0.080696,-0.000530,0.069789,
0.186142,-0.761871,0.697357,0.265964,-0.747799,0.609635,-0.079822,-0.014073,0.087722,
0.219299,-0.766068,0.621872,0.261298,-0.749626,0.610859,-0.041998,-0.016442,0.011013,
0.299225,-0.725052,0.613373,0.265090,-0.747168,0.611110,0.034134,0.022116,0.002262,
0.198212,-0.753906,0.575211,0.258403,-0.747842,0.607521,-0.060191,-0.006064,-0.032310,
0.320190,-0.768738,0.601273,0.264581,-0.749932,0.606896,0.055609,-0.018806,-0.005623,
0.212128,-0.721634,0.552338,0.259336,-0.747102,0.601440,-0.047208,0.025468,-0.049102,
0.322876,-0.605530,0.511795,0.265690,-0.732945,0.592475,0.057186,0.127415,-0.080680,
0.141541,-0.656998,0.682922,0.253275,-0.725350,0.601520,-0.111735,0.068352,0.081402,
0.398331,-0.775681,0.737152,0.267781,-0.730383,0.615083,0.130550,-0.045298,0.122069,
